type,label,url,saved_to
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1372221&GUID=CC5596C0-491B-4254-8F12-9D2CABA95F47,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1362408&GUID=28A66410-6AF5-4A05-9DB8-8F5149A48A4D,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1362408&GUID=28A66410-6AF5-4A05-9DB8-8F5149A48A4D,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1408673&GUID=1A911E9C-289E-424B-B769-9F3A9F393E14,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1408673&GUID=1A911E9C-289E-424B-B769-9F3A9F393E14,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1368199&GUID=57287091-40CE-4C52-97DF-126E93D0400A,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1368199&GUID=57287091-40CE-4C52-97DF-126E93D0400A,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1389202&GUID=D2FBF219-E04F-4B71-90CD-6FF6E80ED504,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1408508&GUID=24EDB626-563A-437A-BFED-A17666CC93B9,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360144&GUID=46C114DA-A53E-47EB-B419-B9133FBC9A8E,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1360144&GUID=46C114DA-A53E-47EB-B419-B9133FBC9A8E,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1355668&GUID=33A49421-B070-49DC-AC84-3CD722BCEF57,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1355668&GUID=33A49421-B070-49DC-AC84-3CD722BCEF57,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360145&GUID=427D3124-01EA-4A97-BB1C-9D7B7262C326,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1360145&GUID=427D3124-01EA-4A97-BB1C-9D7B7262C326,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1409180&GUID=C87B03C4-0D72-47C9-B619-19BD2CD3E470,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1409180&GUID=C87B03C4-0D72-47C9-B619-19BD2CD3E470,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Accessible Agenda,https://cityofdallas.legistar.com/View.ashx?M=AADA&ID=1409180&GUID=C87B03C4-0D72-47C9-B619-19BD2CD3E470,dallas_legistar_downloads/Accessible_Agenda.pdf
Detail Page File,"Board Packet May 11, 2026",https://cityofdallas.legistar.com/View.ashx?M=AO&ID=176397&GUID=25878fed-3e8e-40b8-b6cb-bdaf17e5213e&N=Qm9hcmQgUGFja2V0IE1heSAxMSwgMjAyNg%3d%3d,dallas_legistar_downloads/Meeting_Details_Board_Packet_May_11_2026.pdf
